Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
marsala-lip-stick,,,,,,,,Matte Lip Stick,,,,,LS29,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Marsala_Finding_Ferdinand_Lip_Stick.png?v=1500327081,2,,,,,,,,,,,,,,,,,,,oz,
marsala-lip-stick,,,,,,,,Sheer Lip Tint,,,,,LS29,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Marsala.jpg?v=1500390563,3,,,,,,,,,,,,,,,,,,,oz,
medium-well-lip-stick,Medium Well Lip Stick,"<p class=""p1""><b></b><span>Fierce is the only thing that comes to mind when you swipe on this deep, bold color. Wear it to date night or around town the girls, Medium Well will never disappoint. </span></p>
<p class=""p1"">Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p class=""p1""><i>Coffee Bean + Flaming Fuchsia + Berry Jam </i></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s2""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s2""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s2""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s2""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, lips, Lipstick",false,Finish,Creamy Lip Stick,,,,,LS28,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Medium-Well.jpg?v=1500326993,1,,false,,,,,,,,,,,,,,,,,oz,
medium-well-lip-stick,,,,,,,,Matte Lip Stick,,,,,LS28,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Medium_Well_Finding_Ferdinand_Lip_Stick.png?v=1500326995,2,,,,,,,,,,,,,,,,,,,oz,
medium-well-lip-stick,,,,,,,,Sheer Lip Tint,,,,,LS28,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Medium-Well.jpg?v=1500390631,3,,,,,,,,,,,,,,,,,,,oz,
addams-lip-stick,Addams Lip Stick,"<p>Get ready for the chilly weather with everyone's favorite Addams family member. This vampy red will have you channeling Wednesday Addams even when Halloween is months away.</p>
<p>Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8"">Finding Ferdinand Lipstick &amp; Beauty App</a>:  </p>
<p><em>Au Naturel + Nob Hill Red + Truffle</em></p>
<h3><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s1""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p>U.S. Priority Mail (2-3 days): $5</p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, Lipstick",false,Finish,Creamy Lip Stick,,,,,LS27,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Addams.jpg?v=1500326174,1,,false,,,,,,,,,,,,,,,,,oz,
addams-lip-stick,,,,,,,,Matte Lip Stick,,,,,LS27,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Addams_Finding_Ferdinand_Lip_Stick.png?v=1500326174,2,,,,,,,,,,,,,,,,,,,oz,
addams-lip-stick,,,,,,,,Sheer Lip Tint,,,,,LS27,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Addams.jpg?v=1500389881,3,,,,,,,,,,,,,,,,,,,oz,
starter-kit-2-0-preview,Starter Kit 2.0 - Coming Soon,"<p><strong>MORE THAN A LIPSTICK PALETTE</strong></p>
<p>With 22 high pigment lip colors and 175,000+ possible combinations, Starter Kit 2.0 puts an entire lipstick counter in the palm of your hands. <br><br>Even better, each Kit comes with a code to redeem a full-sized <a href=""https://www.findingferdinand.com/products/create-a-custom-lipstick-color"" target=""_blank"" title=""Custom lipstick"" rel=""noopener noreferrer"">Custom Lip Stick</a> in your favorite hue and finish.</p>
<meta charset=""utf-8"">
<p><span><strong>HOW IT WORKS</strong></span></p>
<p><span style=""text-decoration: underline;"">STEP 1: EXPERIMENT WITH LIP COLORS</span><br>Try out the base colors and experiment with different combinations and mixes. There are so many possibilities! (We did the math. It’s around 175,000 if you want to put a number to it.)<br><br><span style=""text-decoration: underline;"">STEP 2: FIND YOUR FORMULA</span><br>Once you find your winning combination, submit the color formula through our <a href=""https://www.findingferdinand.com/collections/lip-colors/products/create-a-custom-lipstick-color"" target=""_blank"" rel=""noopener noreferrer"">Color Mixing Tool</a> online or on mobile through our <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick/id1193085629?mt=8"" target=""_blank"" title=""Custom lipstick app"" rel=""noopener noreferrer"">Lipstick &amp; Beauty app</a>.<br><br><span style=""text-decoration: underline;"">STEP 3: GET YOUR CUSTOM LIP STICK</span><br>Use the unique coupon code that comes with each Kit to redeem a free <a href=""https://www.findingferdinand.com/collections/customize/products/create-a-custom-lipstick-color"" target=""_blank"" title=""Custom lip stick"" rel=""noopener noreferrer"">Custom Lip Stick</a> in creamy, matte or sheer. Get it delivered straight to your door.</p>
<h3>
<strong>DETAILS</strong> </h3>
<p><strong>PALETTE</strong></p>
<ul>
<li>Net Weight: 0.28 oz</li>
<li>Dimensions: 12.3 x 8.2 x 1.5 cm</li>
<li>Full standing mirror</li>
<li>Magnetic base</li>
<li>Two empty wells for mixing</li>
</ul>
<p><strong>LIP COLORS</strong></p>
<ul>
<li>22 curated lip colors</li>
<li>Creamy finish</li>
<li>High-pigment</li>
<li>Long lasting wear</li>
<li>Moisturizing</li>
<li>Natural sunscreen</li>
</ul>
<p><strong>EXTRAS</strong></p>
<ul>
<li>Dual-End Lip Brush / angled lip brush and spatula</li>
<li>FFgirl Sticker Set</li>
</ul>
<h3><strong>BENEFITS</strong></h3>
<p><strong>Ultra-portable</strong> - Create and try out 175K+ color combinations from 22 base shades and one brush<br><br><strong>Extra Room</strong> - We left you two spaces to mix colors<br><br><strong>Magnetic Base</strong> - Made to keep your colors in place or to replace individual base colors when you run out<br><br><strong>Bonus Brush</strong> - The Dual-End Lip Brush has one side for mixing, and one side for application, the perfect complement to your palette<br><br><strong>Unmatched Value</strong> - Experiment with new colors and recreate best loved shades seen online. Plus get a full-size lipstick with every Starter Kit 2.0 purchase.<br><br><strong>Quality Ingredients</strong> - Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Talc, and Gluten. See our <a href=""https://www.findingferdinand.com/pages/ingredients"" target=""_blank"" title=""Product ingredients"" rel=""noopener noreferrer"">Ingredients page</a> for details.</p>
<h3>SHIPPING</h3>
<p><strong>Get FREE standard shipping on all U.S. orders.</strong><br><br>Priority Mail (2-3 days): $5<br>Standard Shipping to Canada: $25<br><br>Email us at contact@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</p>",findingferdinand2,palette,"",true,Title,Default Title,,,,,FF01,9,shopify,0,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Starter-Kit_Semi-Open-Full_f63696f2-34ae-473f-bef4-6c56bf172a7f.jpg?v=1499697163,1,,false,,,,health & beauty,,,,,,true,,,,,,,oz,
starter-kit-2-0-preview,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Starter_Kit_Swatch_c5a3a095-8df2-4b34-b9cb-207206163395.jpg?v=1499697163,2,,,,,,,,,,,,,,,,,,,,
starter-kit-2-0-preview,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Lipstick_Colors_30d004c1-606d-4305-ba0e-c463aa27eaf5.jpg?v=1499697163,3,,,,,,,,,,,,,,,,,,,,
